 1.39636836105594E+07  3.05022045657608E+02  2.33080552890426E+02
 1.42069221286019E+07  3.09603717003923E+02  2.37051841237631E+02
 1.44543977074593E+07  3.14416116877565E+02  2.41058869775670E+02
 1.47061841540456E+07  3.19472771090244E+02  2.45096861553584E+02
 1.49623565609444E+07  3.24788063284748E+02  2.49160187215606E+02
 1.52229913288042E+07  3.30377279748512E+02  2.53242242484994E+02
 1.54881661891248E+07  3.36746106016140E+02  2.58171933413071E+02
 1.57579602274393E+07  3.42977505657270E+02  2.62308380280288E+02
 1.60324539069005E+07  3.49538950632282E+02  2.66438098839974E+02
 1.63117290922784E+07  3.56450196438511E+02  2.70548939556516E+02
 1.65958690743756E+07  3.63732115059054E+02  2.74626825649305E+02
 1.68849585948676E+07  3.71406703145224E+02  2.78655479468752E+02
 1.71790838715759E+07  3.79497071348808E+02  2.82616112147283E+02
 1.74783326241822E+07  3.88027408586632E+02  2.86487072434058E+02
 1.77827941003893E+07  3.97022913492163E+02  2.90243450580852E+02
 1.80925591025382E+07  4.06509683381159E+02  2.93856633195434E+02
 1.84077200146896E+07  4.16514548815059E+02  2.97293805381099E+02
 1.87283708301755E+07  4.27064839114675E+02  3.00517397205149E+02
 1.90546071796325E+07  4.38188060998564E+02  3.03484472855601E+02
 1.93865263595221E+07  4.49911468825540E+02  3.06146062910390E+02
 1.97242273611486E+07  4.62261500741820E+02  3.08446443251322E+02
 2.00678109001819E+07  4.75263050439559E+02  3.10322368672228E+02
 2.04173794466953E+07  4.88938539348772E+02  3.11702275525921E+02
 2.07730372557257E+07  5.03306749324439E+02  3.12505476477110E+02
 2.11348903983665E+07  5.18381371628115E+02  3.12641381991061E+02
 2.15030467934026E+07  5.34169225140429E+02  3.12008798352334E+02
 2.18776162394955E+07  5.50668096507138E+02  3.10495371340985E+02
 2.22587104479301E+07  5.67864158939032E+02  3.07977268575563E+02
 2.26464430759307E+07  5.85728937060298E+02  3.04319222064585E+02
 2.30409297605585E+07  6.04215805534515E+02  2.99375085043106E+02
 2.34422881531992E+07  6.24676202780607E+02  2.93339311365269E+02
 2.38506379546511E+07  6.44292336487979E+02  2.85283425705366E+02
 2.42661009508242E+07  6.64243615230814E+02  2.75437847714607E+02
 2.46888010490621E+07  6.84366265562005E+02  2.63633763688513E+02
 2.51188643150959E+07  7.04456171804423E+02  2.49709654369421E+02
 2.55564190106414E+07  7.24265525405509E+02  2.33519773111937E+02
 2.60015956316527E+07  7.43501035171198E+02  2.14944560470836E+02
 2.64545269472405E+07  7.61824490891499E+02  1.93902831951498E+02
 2.69153480392692E+07  7.78856542908629E+02  1.70365276601957E+02
 2.73841963426436E+07  7.94184521212575E+02  1.44368427474147E+02
 2.78612116862978E+07  8.07374915898705E+02  1.16027848350758E+02
 2.83465363348968E+07  8.17990733148556E+02  8.55488966177576E+01
 2.88403150312661E+07  8.25613317682141E+02  5.32331747472167E+01
 2.93426950395597E+07  8.29867440812403E+02  1.94787948832885E+01
 2.98538261891796E+07  8.30447612832065E+02 -1.52270417233935E+01
 3.03738609194611E+07  8.27142876135411E+02 -5.03238627037096E+01
 3.09029543251360E+07  8.19856987640822E+02 -8.52017202168137E+01
 3.14412642025880E+07  8.09110825699976E+02 -1.20609656292651E+02
 3.19889510969141E+07  7.93934433439804E+02 -1.53229836045599E+02
 3.25461783498046E+07  7.75246468025379E+02 -1.83793332768081E+02
 3.31131121482591E+07  7.53442427360618E+02 -2.11807805670145E+02
 3.36899215741492E+07  7.28998620621527E+02 -2.36880973961234E+02
 3.42767786546451E+07  7.02442402166493E+02 -2.58733662543395E+02
 3.48738584135219E+07  6.74321433005783E+02 -2.77203176073656E+02
 3.54813389233576E+07  6.45175193547665E+02 -2.92237856067007E+02
 3.60994013586418E+07  6.15511180087115E+02 -3.03884687218931E+02
 3.67282300498084E+07  5.85787184588806E+02 -3.12272341612825E+02
 3.73680125382117E+07  5.56400034704277E+02 -3.17592090601173E+02
 3.80189396320562E+07  5.27680344029501E+02 -3.20078687860644E+02
 3.86812054633053E+07  4.99892281712679E+02 -3.19992793476796E+02
 3.93550075455778E+07  4.72711296898256E+02 -3.17905553762317E+02
 4.00405468330547E+07  4.47323803201446E+02 -3.13424783337655E+02
 4.07380277804113E+07  4.23314568542961E+02 -3.07174951674327E+02
 4.14476584037940E+07  4.00736456940651E+02 -2.99399745693975E+02
 4.21696503428583E+07  3.79608837137950E+02 -2.90322081706029E+02
