 7.62439900216130E+07  7.14154686436073E-03  8.56461899224571E+00
 7.64199771223390E+07  7.19263807232348E-03  9.21975312765862E+00
 7.65963704381591E+07  7.24420041997709E-03  9.87370498454533E+00
 7.67731709067036E+07  7.29623851655245E-03  1.05264872575242E+01
 7.69503794677660E+07  7.34875702361458E-03  1.11781125915288E+01
 7.71279970633094E+07  7.40176064376819E-03  1.18285935817819E+01
 7.73060246374711E+07  7.45525413281476E-03  1.24779427744043E+01
 7.74844631365675E+07  7.50924229164245E-03  1.31261726667258E+01
 7.76633135090995E+07  7.56372997143876E-03  1.37732957075863E+01
 7.78425767057573E+07  7.61872207075815E-03  1.44193242978654E+01
 7.80222536794254E+07  7.67422354382275E-03  1.50642707906898E+01
 7.82023453851879E+07  7.73023938669089E-03  1.57081474918114E+01
 7.83828527803332E+07  7.78677465511397E-03  1.63509666600921E+01
 7.85637768243597E+07  7.84383444382516E-03  1.69927405076433E+01
 7.87451184789801E+07  7.90142391752240E-03  1.76334812004618E+01
 7.89268787081272E+07  7.95954827987501E-03  1.82732008585479E+01
 7.91090584779587E+07  8.01821278875707E-03  1.89119115564764E+01
 7.92916587568624E+07  8.07742276340363E-03  1.95496253236157E+01
 7.94746805154610E+07  8.13718357003674E-03  2.01863541444320E+01
 7.96581247266188E+07  8.19750063480294E-03  2.08221099590526E+01
 7.98419923654440E+07  8.25837943286891E-03  2.14569046634297E+01
 8.00262844092963E+07  8.31982550310109E-03  2.20907501097088E+01
 8.02110018377920E+07  8.38184443827427E-03  2.27236581069042E+01
 8.03961456328079E+07  8.44444188342909E-03  2.33556404207436E+01
 8.05817167784865E+07  8.50762355135045E-03  2.39867087743608E+01
 8.07677162612435E+07  8.57139520508813E-03  2.46168748484894E+01
 8.09541450697705E+07  8.63576267060840E-03  2.52461502821750E+01
 8.11410041950405E+07  8.70073183109296E-03  2.58745466723886E+01
 8.13282946303156E+07  8.76630863616002E-03  2.65020755752984E+01
 8.15160173711493E+07  8.83249908770135E-03  2.71287485057646E+01
 8.17041734153935E+07  8.89930925720710E-03  2.77545769384189E+01
 8.18927637632030E+07  8.96674527691415E-03  2.83795723073748E+01
 8.20817894170417E+07  9.03481333732671E-03  2.90037460070998E+01
 8.22712513816869E+07  9.10351969905215E-03  2.96271093924809E+01
 8.24611506642354E+07  9.17287068146209E-03  3.02496737791519E+01
 8.26514882741085E+07  9.24287267814566E-03  3.08714504441039E+01
 8.28422652230576E+07  9.31353213824254E-03  3.14924506256296E+01
 8.30334825251692E+07  9.38485558262682E-03  3.21126855240842E+01
 8.32251411968706E+07  9.45684960149842E-03  3.27321663019147E+01
 8.34172422569355E+07  9.52952084832515E-03  3.33509040842725E+01
 8.36097867264887E+07  9.60287604858187E-03  3.39689099589337E+01
 8.38027756290123E+07  9.67692199871406E-03  3.45861949773053E+01
 8.39962099903506E+07  9.75166556221786E-03  3.52027701541509E+01
 8.41900908387160E+07  9.82711367369595E-03  3.58186464681809E+01
 8.43844192046939E+07  9.90327334255666E-03  3.64338348624182E+01
 8.45791961212489E+07  9.98015165059677E-03  3.70483462445514E+01
 8.47744226237293E+07  1.00577557486898E-02  3.76621914871760E+01
 8.49700997498741E+07  1.01360928699415E-02  3.82753814282064E+01
 8.51662285398173E+07  1.02151703169178E-02  3.88879268712122E+01
 8.53628100360925E+07  1.02949954656363E-02  3.94998385858112E+01
 8.55598452836418E+07  1.03755757763452E-02  4.01111273077390E+01
 8.57573353298180E+07  1.04569187832403E-02  4.07218037396313E+01
 8.59552812243909E+07  1.05390320981673E-02  4.13318785510182E+01
 8.61536840195549E+07  1.06219234117355E-02  4.19413623787780E+01
 8.63525447699320E+07  1.07056004983183E-02  4.25502658274388E+01
 8.65518645325787E+07  1.07900712123212E-02  4.31585994695916E+01
 8.67516443669916E+07  1.08753434889709E-02  4.37663738461240E+01
 8.69518853351126E+07  1.09614253418742E-02  4.43735994666726E+01
 8.71525885013349E+07  1.10483248801115E-02  4.49802868098204E+01
 8.73537549325086E+07  1.11360502883577E-02  4.55864463236951E+01
 8.75553856979462E+07  1.12246098373828E-02  4.61920884258854E+01
 8.77574818694285E+07  1.13140118882426E-02  4.67972235041400E+01
 8.79600445212101E+07  1.14042648900108E-02  4.74018619165501E+01
 8.81630747300254E+07  1.14953773767602E-02  4.80060139917819E+01
 8.83665735750937E+07  1.15873579732627E-02  4.86096900297842E+01
 8.85705421381259E+07  1.16802153989042E-02  4.92129003016323E+01
 8.87749815033292E+07  1.17739584557386E-02  4.98156550502472E+01
 8.89798927574139E+07  1.18685960495007E-02  5.04179644905331E+01
 8.91852769895983E+07  1.19641371709127E-02  5.10198388097338E+01
 8.93911352916149E+07  1.20605909111810E-02  5.16212881677874E+01
 8.95974687577162E+07  1.21579664497754E-02  5.22223226977278E+01
 8.98042784846804E+07  1.22562730726065E-02  5.28229525058267E+01
 9.00115655718171E+07  1.23555201589014E-02  5.34231876722137E+01
 9.02193311209745E+07  1.24557171832045E-02  5.40230382508164E+01
 9.04275762365422E+07  1.25568737258756E-02  5.46225142701001E+01
 9.06363020254599E+07  1.26589994667032E-02  5.52216257331363E+01
 9.08455095972231E+07  1.27621041869846E-02  5.58203826179986E+01
 9.10552000638873E+07  1.28661977709918E-02  5.64187948781457E+01
 9.12653745400748E+07  1.29712902112488E-02  5.70168724426216E+01
 9.14760341429812E+07  1.30773916017417E-02  5.76146252165813E+01
 9.16871799923806E+07  1.31845121466518E-02  5.82120630814456E+01
 9.18988132106317E+07  1.32926621566585E-02  5.88091958952819E+01
 9.21109349226838E+07  1.34018520516488E-02  5.94060334931855E+01
 9.23235462560831E+07  1.35120923639092E-02  6.00025856875462E+01
 9.25366483409782E+07  1.36233937369832E-02  6.05988622683508E+01
 9.27502423101263E+07  1.37357669276134E-02  6.11948730036810E+01
 9.29643292988993E+07  1.38492228065200E-02  6.17906276398048E+01
 9.31789104452898E+07  1.39637723589421E-02  6.23861359016524E+01
 9.33939868899171E+07  1.40794266908374E-02  6.29814074932055E+01
 9.36095597760332E+07  1.41961970249634E-02  6.35764520975634E+01
 9.38256302495292E+07  1.43140947008348E-02  6.41712793775639E+01
 9.40421994589410E+07  1.44331311865466E-02  6.47658989759703E+01
 9.42592685554554E+07  1.45533180621654E-02  6.53603205157593E+01
 9.44768386929167E+07  1.46746670420468E-02  6.59545536005660E+01
 9.46949110278324E+07  1.47971899596519E-02  6.65486078149868E+01
 9.49134867193792E+07  1.49208987762580E-02  6.71424927247578E+01
 9.51325669294099E+07  1.50458055825310E-02  6.77362178773325E+01
 9.53521528224584E+07  1.51719225973336E-02  6.83297928019427E+01
 9.55722455657481E+07  1.52992621728852E-02  6.89232270101274E+01
 9.57928463291944E+07  1.54278367919987E-02  6.95165299960096E+01
 9.60139562854143E+07  1.55576590707002E-02  7.01097112366028E+01
 9.62355766097325E+07  1.56887417643054E-02  7.07027801921338E+01
